id,clubId,squadId,start,end,ActivityDate,Round,Opposition,Result,Activity_Type,Activity,Ground,Type,datasource
77,3,8,20-01-2016 13:18,20-01-2016 15:14,20-01-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
78,3,8,11-01-2016 13:52,11-01-2016 15:06,11-01-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
79,3,8,27-10-2015 19:56,27-10-2015 22:39,27-10-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
80,3,8,26-10-2015 10:40,26-10-2015 12:08,26-10-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
81,3,8,25-10-2015 10:15,25-10-2015 12:02,25-10-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
82,3,8,24-10-2015 09:49,24-10-2015 10:59,24-10-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
83,3,8,23-10-2015 18:18,23-10-2015 21:01,23-10-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
84,3,8,22-10-2015 09:43,22-10-2015 11:07,22-10-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
85,3,8,24-09-2015 00:22,24-09-2015 02:56,24-09-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
86,3,8,22-09-2015 17:45,22-09-2015 19:10,22-09-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
87,3,8,21-09-2015 17:09,21-09-2015 18:47,21-09-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
88,3,8,20-09-2015 23:06,21-09-2015 00:36,20-09-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
89,3,8,20-09-2015 17:05,20-09-2015 18:43,20-09-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
90,3,8,19-09-2015 23:21,20-09-2015 00:42,19-09-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
91,3,8,29-08-2015 21:56,30-08-2015 00:23,29-08-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
92,3,8,28-08-2015 18:44,28-08-2015 19:51,28-08-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
93,3,8,28-08-2015 00:25,28-08-2015 02:13,28-08-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
94,3,8,26-08-2015 18:44,26-08-2015 21:01,26-08-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
95,3,8,15-08-2015 23:26,16-08-2015 03:05,15-08-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
96,3,8,15-08-2015 00:44,15-08-2015 02:16,15-08-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
97,3,8,14-08-2015 17:47,14-08-2015 19:58,14-08-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
98,3,8,13-08-2015 22:16,14-08-2015 00:18,13-08-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
99,3,8,13-08-2015 01:22,13-08-2015 04:06,13-08-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
100,3,8,12-08-2015 17:46,12-08-2015 19:55,12-08-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
101,3,8,12-08-2015 00:45,12-08-2015 02:44,12-08-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
102,3,8,11-08-2015 17:45,11-08-2015 20:07,11-08-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
